CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1074272"
DESCRIPTOR	"Meusure"
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	"D65"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D65"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2019-03-14T11:51:09"

NUMBER_OF_FIELDS	3
BEGIN_DATA_FORMAT
LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	130
BEGIN_DATA
   85.58	    0.63	   99.74	
   74.45	   -0.89	   46.53	
   83.05	   11.08	   95.56	
   48.34	    5.91	   30.96	
   44.89	   11.63	   36.25	
   65.79	    4.49	   24.89	
   46.16	   12.16	   28.12	
   30.17	    9.93	   21.85	
   41.22	   24.17	   39.59	
   88.01	    9.66	   26.95	
   49.80	   35.81	   54.01	
   54.04	    2.72	    6.40	
   68.53	   32.74	   37.59	
   56.77	   53.62	   48.90	
   30.99	   19.96	   17.85	
   24.57	   17.36	   13.09	
   74.45	   22.72	   18.12	
   59.20	   46.38	   25.00	
   39.15	   60.47	   27.54	
   43.77	   15.72	    5.33	
   41.39	    8.68	    0.58	
   44.60	   50.14	    1.52	
   69.79	   15.37	   -0.04	
   36.41	   32.35	   -6.68	
   44.60	   47.12	  -21.46	
   90.62	    2.75	    0.01	
   46.92	   19.00	  -16.26	
   28.59	   30.73	  -37.86	
   66.33	   10.89	  -18.83	
   25.55	   15.48	  -33.85	
   36.52	   11.41	  -49.18	
   91.37	   -1.72	   -0.44	
   28.70	   -1.40	  -29.80	
   52.79	  -19.50	  -37.81	
   46.79	   -0.93	   -2.28	
   75.78	  -16.54	  -14.13	
   51.19	  -30.80	  -22.76	
   73.25	  -22.55	  -14.72	
   80.80	  -13.87	   -5.50	
   51.18	  -37.52	  -13.36	
   27.39	  -29.89	   -9.91	
   24.22	  -21.89	   -5.82	
   53.82	  -43.03	   -6.28	
   44.80	  -30.29	   -5.37	
   69.10	  -23.99	   -1.67	
   52.71	  -45.75	    0.40	
   23.62	   -5.28	   -0.13	
   50.48	  -23.92	    3.17	
   58.22	  -57.23	   19.64	
   72.86	  -42.49	   14.83	
   64.76	  -15.44	    9.71	
   70.95	  -50.13	   45.06	
   73.11	  -15.48	   12.16	
   50.25	  -32.04	   40.39	
   76.35	  -36.40	   63.90	
   60.56	  -19.41	   31.15	
   48.11	  -16.76	   39.50	
   82.02	  -25.46	   75.36	
   93.87	   -3.56	    8.60	
   68.02	  -15.14	   60.09	
   85.02	  -15.40	   80.27	
   46.62	   -1.58	    6.20	
   49.61	   -2.01	   31.22	
    8.68	   -0.04	   -1.21	
   94.64	   -0.67	    3.78	
   30.23	    2.58	   22.58	
   94.31	   -1.54	    8.08	
   72.55	    5.12	   44.56	
   77.18	   22.11	   86.73	
   49.18	   13.77	   45.52	
   73.13	   31.92	   80.38	
   57.00	   19.48	   43.40	
   68.09	   38.99	   73.82	
   65.06	   23.65	   44.41	
   66.15	   45.72	   68.00	
   75.33	   30.12	   44.02	
   60.86	   50.27	   62.22	
   31.02	   20.03	   25.09	
   67.24	   43.15	   38.31	
   46.96	   52.14	   39.42	
   46.10	   35.43	   25.33	
   48.19	   59.81	   36.85	
   48.37	   21.98	   11.85	
   35.20	   24.25	    8.53	
   36.47	   58.43	   14.39	
   84.23	   15.64	    4.16	
   28.12	   41.91	    2.64	
   45.03	   50.41	  -10.53	
   79.65	   14.76	   -2.08	
   16.70	   18.90	   -9.46	
   37.54	   39.14	  -28.43	
   60.04	    2.36	   -2.96	
   17.44	   12.55	  -19.00	
   34.28	   22.35	  -46.26	
   60.99	   10.65	  -35.31	
   12.07	    0.35	   -6.09	
   43.71	   -4.53	  -46.48	
   74.75	   -7.30	  -24.90	
   52.92	  -12.47	  -24.11	
   53.83	  -26.31	  -26.71	
   41.67	  -11.72	  -15.15	
   27.25	  -22.55	  -16.95	
   52.65	  -34.89	  -17.65	
   35.60	  -24.78	  -13.13	
   73.37	  -28.24	  -10.25	
   54.99	  -45.14	  -10.56	
   87.90	  -15.16	   -1.92	
   75.82	  -31.64	   -4.42	
   56.09	  -50.97	   -2.97	
   27.99	  -24.99	   -1.59	
   66.19	  -33.62	    1.49	
   55.57	  -53.79	    8.72	
   88.60	  -17.30	    5.36	
   33.71	  -45.14	   13.01	
   62.53	  -55.96	   32.13	
   35.75	  -31.24	   16.55	
   42.69	  -33.43	   25.69	
   74.55	  -43.23	   54.04	
   56.99	  -13.38	   13.76	
   86.63	   -7.10	   12.06	
   79.30	  -28.02	   65.98	
   86.12	  -19.78	   41.15	
   38.95	   -9.15	   33.56	
   85.29	  -21.98	   81.94	
   94.11	   -6.52	   17.44	
   66.45	  -10.14	   74.34	
   84.94	   -8.67	   90.38	
   93.00	   -7.26	   42.49	
   55.25	    0.04	   -0.20	
   91.60	    0.80	   -2.33	
END_DATA
